"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr"
"M5","CSO Repression",0.0873136427566809,"10th",-1.4923,0.317081709212986,0.122749829267551,0.587245385824458
"M5","CSO Repression",0.0900421940928272,"10th",-1.4923,0.29466299999998,0.115908695003506,0.555496962074425
"M5","CSO Repression",0.0927707454289735,"10th",-1.4923,0.273250743543642,0.105757087146634,0.519123698372301
"M5","CSO Repression",0.0954992967651197,"10th",-1.4923,0.252944710374605,0.0971134903088438,0.490996583380864
"M5","CSO Repression",0.098227848101266,"10th",-1.4923,0.233814329273135,0.08532568356974,0.459017067584793
"M5","CSO Repression",0.100956399437412,"10th",-1.4923,0.215899476471336,0.0771350422896888,0.443060105851819
"M5","CSO Repression",0.103684950773559,"10th",-1.4923,0.199212825725087,0.0682628923594709,0.415891883288182
"M5","CSO Repression",0.106413502109705,"10th",-1.4923,0.183743344454955,0.0596524311917093,0.39481320116348
"M5","CSO Repression",0.109142053445851,"10th",-1.4923,0.169460469567005,0.0527166465237204,0.376500842979849
"M5","CSO Repression",0.111870604781997,"10th",-1.4923,0.156318504553011,0.0454328800057531,0.366311160892187
"M5","CSO Repression",0.114599156118144,"10th",-1.4923,0.144260850806257,0.0395243046878706,0.342546601221629
"M5","CSO Repression",0.11732770745429,"10th",-1.4923,0.133223799082993,0.032890166588263,0.325516147057405
"M5","CSO Repression",0.120056258790436,"10th",-1.4923,0.12313972918387,0.0286543833225026,0.321537125452294
"M5","CSO Repression",0.122784810126583,"10th",-1.4923,0.113939671087946,0.0247404783619432,0.308243287333712
"M5","CSO Repression",0.125513361462729,"10th",-1.4923,0.10555525598804,0.0203922740025673,0.298653663490349
"M5","CSO Repression",0.128241912798875,"10th",-1.4923,0.0979201296506617,0.016634959947108,0.295884603738345
"M5","CSO Repression",0.130970464135021,"10th",-1.4923,0.0909709189643582,0.0141541732510365,0.284701104249447
"M5","CSO Repression",0.133699015471168,"10th",-1.4923,0.0846478436164252,0.0116502648729545,0.280828013625551
"M5","CSO Repression",0.136427566807314,"10th",-1.4923,0.078895056121195,0.00950106267603331,0.281519418384561
"M5","CSO Repression",0.13915611814346,"10th",-1.4923,0.0736607805202294,0.00806722908367992,0.281296596462958
"M5","CSO Repression",0.141884669479606,"10th",-1.4923,0.0688973064838743,0.00677987788767071,0.268135336702042
"M5","CSO Repression",0.144613220815753,"10th",-1.4923,0.0645608830994636,0.00549640567598152,0.258516091200093
"M5","CSO Repression",0.147341772151899,"10th",-1.4923,0.0606115460762858,0.00458003692795015,0.257610343328263
"M5","CSO Repression",0.150070323488045,"10th",-1.4923,0.0570129035539711,0.00379089910657753,0.256706767056379
"M5","CSO Repression",0.152798874824192,"10th",-1.4923,0.0537318989923712,0.0031122579262269,0.25580536608066
"M5","CSO Repression",0.155527426160338,"10th",-1.4923,0.0507385644593202,0.00254265154680022,0.257221986118196
"M5","CSO Repression",0.158255977496484,"10th",-1.4923,0.0480057737170441,0.00206021847790646,0.254629433790086
"M5","CSO Repression",0.16098452883263,"10th",-1.4923,0.0455090015686279,0.00168961882776799,0.250342205284745
"M5","CSO Repression",0.163713080168777,"10th",-1.4923,0.043226093738538,0.00135601405159366,0.246348711279761
"M5","CSO Repression",0.166441631504923,"10th",-1.4923,0.041137049947053,0.00112188266785102,0.248187631483648
"M5","CSO Repression",0.169170182841069,"10th",-1.4923,0.0392238216587597,0.000948512984445195,0.245513616985329
"M5","CSO Repression",0.171898734177216,"10th",-1.4923,0.0374701251336997,0.000776661643310154,0.237850914783891
"M5","CSO Repression",0.174627285513362,"10th",-1.4923,0.0358612698054724,0.000628698941126424,0.236784616163116
"M5","CSO Repression",0.177355836849508,"10th",-1.4923,0.0343840015923072,0.000507694974998017,0.237169497485308
"M5","CSO Repression",0.180084388185654,"10th",-1.4923,0.0330263604683091,0.000410163759335259,0.233709219435075
"M5","CSO Repression",0.182812939521801,"10th",-1.4923,0.0317775514474219,0.000330482678574804,0.230217338015133
"M5","CSO Repression",0.185541490857947,"10th",-1.4923,0.0306278280351737,0.000266744459458562,0.226762375677819
"M5","CSO Repression",0.188270042194093,"10th",-1.4923,0.0295683871623536,0.000215296696948584,0.223663562867296
"M5","CSO Repression",0.190998593530239,"10th",-1.4923,0.0285912746145677,0.000173770325673029,0.224139112759089
"M5","CSO Repression",0.193727144866386,"10th",-1.4923,0.0276892999999474,0.000140252621525933,0.218065664341258
"M5","CSO Repression",0.196455696202532,"10th",-1.4923,0.026855960344751,0.000113199409202688,0.218012788514803
"M5","CSO Repression",0.199184247538678,"10th",-1.4923,0.0260853714659972,9.19023120407955e-05,0.22199171599831
"M5","CSO Repression",0.201912798874825,"10th",-1.4923,0.0253722063361324,7.49900602572618e-05,0.222378841699501
"M5","CSO Repression",0.204641350210971,"10th",-1.4923,0.0247116397229439,6.12592164217608e-05,0.220424983462419
"M5","CSO Repression",0.207369901547117,"10th",-1.4923,0.024099298455505,5.00424216593231e-05,0.21848348148128
"M5","CSO Repression",0.210098452883263,"10th",-1.4923,0.0235312167317718,4.08794028574177e-05,0.216554342738338
"M5","CSO Repression",0.21282700421941,"10th",-1.4923,0.0230037959441861,3.33941409184091e-05,0.215536906619179
"M5","CSO Repression",0.215555555555556,"10th",-1.4923,0.0225137685554644,2.71870008603378e-05,0.21333094158309
"M5","CSO Repression",0,"90th",2.2074,0.427560536280861,0.033995338162066,0.923665708930512
"M5","CSO Repression",0.00272855133614628,"90th",2.2074,0.434585515252814,0.038367168206608,0.921944372564614
"M5","CSO Repression",0.00545710267229256,"90th",2.2074,0.441806039423603,0.0436439722093534,0.920187573260523
"M5","CSO Repression",0.00818565400843884,"90th",2.2074,0.44922364697906,0.0496203384584891,0.918394732625085
"M5","CSO Repression",0.0109142053445851,"90th",2.2074,0.45683929109144,0.0556516605730926,0.916565269768073
"M5","CSO Repression",0.0136427566807314,"90th",2.2074,0.464653263780532,0.0612903287041832,0.914691100226132
"M5","CSO Repression",0.0163713080168777,"90th",2.2074,0.472665113972436,0.0679755850824541,0.912751635999288
"M5","CSO Repression",0.0190998593530239,"90th",2.2074,0.480873559492057,0.0745467819784166,0.910771795596929
"M5","CSO Repression",0.0218284106891702,"90th",2.2074,0.489276392825074,0.0811976874851737,0.908750924456246
"M5","CSO Repression",0.0245569620253165,"90th",2.2074,0.497870380690263,0.0909350843584898,0.90611056691018
"M5","CSO Repression",0.0272855133614628,"90th",2.2074,0.506651157825343,0.0989325609408158,0.904653119903094
"M5","CSO Repression",0.0300140646976091,"90th",2.2074,0.515613115969711,0.108295047689404,0.902552077351492
"M5","CSO Repression",0.0327426160337553,"90th",2.2074,0.5247492898856,0.121017138083205,0.900443226676105
"M5","CSO Repression",0.0354711673699016,"90th",2.2074,0.534051243437031,0.132636507793011,0.899070790131647
"M5","CSO Repression",0.0381997187060479,"90th",2.2074,0.543508960238025,0.145634922862607,0.898663407143563
"M5","CSO Repression",0.0409282700421942,"90th",2.2074,0.553110745100209,0.161467195928043,0.897871239532645
"M5","CSO Repression",0.0436568213783405,"90th",2.2074,0.562843144254022,0.177157102851845,0.896446397003984
"M5","CSO Repression",0.0463853727144867,"90th",2.2074,0.572690893764285,0.196431335450624,0.893727640717043
"M5","CSO Repression",0.049113924050633,"90th",2.2074,0.58263690630197,0.212627440806255,0.890379795488752
"M5","CSO Repression",0.0518424753867793,"90th",2.2074,0.592662306070211,0.228443467190801,0.888851101131126
"M5","CSO Repression",0.0545710267229256,"90th",2.2074,0.602746519956555,0.242796684759516,0.887642645788848
"M5","CSO Repression",0.0572995780590718,"90th",2.2074,0.612867429904708,0.262711757596022,0.885146525114992
"M5","CSO Repression",0.0600281293952181,"90th",2.2074,0.623001587391593,0.28452658387892,0.884154769225828
"M5","CSO Repression",0.0627566807313644,"90th",2.2074,0.633124486326555,0.30562202669424,0.882575122717
"M5","CSO Repression",0.0654852320675107,"90th",2.2074,0.643210886300401,0.324840380665588,0.883520775276122
"M5","CSO Repression",0.068213783403657,"90th",2.2074,0.653235174437186,0.349414003362388,0.882736831388392
"M5","CSO Repression",0.0709423347398032,"90th",2.2074,0.66317175146777,0.370514624530998,0.884122861371319
"M5","CSO Repression",0.0736708860759495,"90th",2.2074,0.672995426183393,0.387001070859259,0.885187423109615
"M5","CSO Repression",0.0763994374120958,"90th",2.2074,0.682681802154793,0.409900117159139,0.885032208511788
"M5","CSO Repression",0.0791279887482421,"90th",2.2074,0.692207641474757,0.421447455503231,0.887631242252521
"M5","CSO Repression",0.0818565400843883,"90th",2.2074,0.701551192195408,0.433998843896202,0.887179480701401
"M5","CSO Repression",0.0845850914205346,"90th",2.2074,0.710692468879524,0.452028701203761,0.888003572380263
"M5","CSO Repression",0.0873136427566809,"90th",2.2074,0.719613478943652,0.466946834169594,0.890017984422277
"M5","CSO Repression",0.0900421940928272,"90th",2.2074,0.728298390843871,0.487646778298044,0.895697506501904
"M5","CSO Repression",0.0927707454289735,"90th",2.2074,0.736733643272053,0.503538524575532,0.898041048871063
"M5","CSO Repression",0.0954992967651197,"90th",2.2074,0.744907997138635,0.517630360107372,0.901557384991573
"M5","CSO Repression",0.098227848101266,"90th",2.2074,0.752812534125366,0.53311011373651,0.904473156132364
"M5","CSO Repression",0.100956399437412,"90th",2.2074,0.760440607043919,0.549043220685078,0.90782353151648
"M5","CSO Repression",0.103684950773559,"90th",2.2074,0.767787748249203,0.553816272461064,0.913538309130289
"M5","CSO Repression",0.106413502109705,"90th",2.2074,0.774851543041488,0.56072626417466,0.918529643135344
"M5","CSO Repression",0.109142053445851,"90th",2.2074,0.781631475411097,0.562895418062914,0.924366706294905
"M5","CSO Repression",0.111870604781997,"90th",2.2074,0.788128753638904,0.567408151553929,0.929314988424654
"M5","CSO Repression",0.114599156118144,"90th",2.2074,0.794346123139714,0.57236051299374,0.934865582316593
"M5","CSO Repression",0.11732770745429,"90th",2.2074,0.80028767350389,0.577552704168467,0.939349043391774
"M5","CSO Repression",0.120056258790436,"90th",2.2074,0.805958645969268,0.579454231169643,0.942850953980673
"M5","CSO Repression",0.122784810126583,"90th",2.2074,0.811365246597666,0.58034578849544,0.94700598648107
"M5","CSO Repression",0.125513361462729,"90th",2.2074,0.816514469328994,0.580381791561738,0.951677182567544
"M5","CSO Repression",0.128241912798875,"90th",2.2074,0.821413931944983,0.58804761719878,0.956174540700354
"M5","CSO Repression",0.130970464135021,"90th",2.2074,0.826071726889479,0.586427429881624,0.960380736199311
"M5","CSO Repression",0.133699015471168,"90th",2.2074,0.830496287935073,0.585320047015592,0.964233544105023
"M5","CSO Repression",0.136427566807314,"90th",2.2074,0.834696272898435,0.579722615680429,0.967889246362589
